user_id,session_id,timestamp,profession,tool,use_case,iterations,prompt_complexity,quality_with_ai,quality_without_ai,productivity_gain,final_quality_label,confidence_with_ai,confidence_without_ai,overreliance_score,learning_loss,hallucination_flag,failure_type,ease_of_use,ui_complexity,requires_login,subscription_type,session_length,deadline_pressure
23000,3950,2024-04-01 11:28:02,Sales Executive,Claude,Data Analysis,5,medium,8.5,6.356429795017109,21.44,high,9,7,6.73,0,0,none,10,high,1,freemium,46,high
41435,100088,2023-08-22 07:13:13,Nurse,GitHub Copilot,Code Generation,5,low,10.0,5.7701891366994325,42.3,high,9,5,7.62,1,0,none,10,high,0,freemium,54,medium
21466,80760,2023-06-09 21:52:05,Professor,ChatGPT,Learning New Topic,1,medium,6.5,3.526736129891551,29.73,medium,7,3,7.88,0,1,incomplete,8,low,1,freemium,19,high
35737,180568,2024-05-04 05:37:00,Student,Cursor AI,Code Debugging,1,low,9.5,6.023068097055658,34.77,high,10,6,3.34,1,0,none,6,high,0,freemium,40,low
9689,128696,2024-06-18 04:54:22,Doctor,ChatGPT,Research Summary,1,medium,6.5,4.228534172460538,22.71,medium,5,3,4.08,1,0,none,8,high,0,freemium,38,medium
11931,4096,2023-08-01 16:42:43,Consultant,Synthesia,Business Strategy,1,high,6.5,5.183441803451319,13.17,medium,6,4,3.95,1,0,none,10,high,1,freemium,22,medium
38415,149045,2023-03-02 23:20:48,Pharmacist,ChatGPT,Business Strategy,5,high,8.5,4.909682776963459,35.9,high,8,4,4.9,1,1,irrelevant,7,low,0,freemium,39,medium
21540,7309,2024-03-20 01:14:11,Journalist,Notion AI,Learning New Topic,6,medium,9.0,6.435826309518744,25.64,high,9,7,6.62,0,0,none,9,high,0,freemium,22,medium
3872,26823,2023-12-11 14:48:08,Scientist,DALL-E,Essay Writing,1,medium,6.5,5.72885344569995,7.71,medium,6,6,7.9,1,1,irrelevant,7,high,1,freemium,54,medium
32020,90451,2024-06-11 02:43:11,Marketing Manager,Notion AI,UI Design,5,medium,8.5,4.069719824476049,44.3,high,8,3,4.25,0,0,none,10,low,1,paid,35,high
